timestamp,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
5730159,0.30612,3698.4,4503.8,9.4829,26.926,42.595,2706.1,75.138,120.41,0.33472,80.174,50.078,2633.9,24.709,49.8,3106.8,23.122,65.272,220.53,340.08,94.317,77.539,31.783,8.938,25.983,6.9395,19.188,1.6857,32.563,13.772,24.55,1.0597,18.382,2.2936,4.775,2.2106,0.01239,0.84439,0.11032,54.028,43.716,64.466,53.433,30.363,59.501,21.61,39.133,38.331,46.071,44.535,41.595,17.72
5730160,0.29652,3676.8,4444.0,9.3979,26.945,42.063,2707.5,74.896,120.4,0.32596,80.295,50.176,2636.1,26.924,50.109,3106.9,23.661,65.291,221.74,340.01,94.647,77.479,31.747,8.7944,26.484,6.6818,18.762,1.6632,32.762,13.728,23.854,1.2183,19.055,2.2704,4.8087,2.31,0.00092373,0.85938,0.099544,54.097,44.416,62.294,53.426,29.296,61.655,21.921,39.179,38.617,46.785,44.557,41.243,16.432
5730161,0.29597,3631.9,4502.2,9.3814,26.679,42.17,2711.2,75.01,120.38,0.32287,80.42,50.984,2639.4,26.274,49.62,3112.4,24.674,65.347,218.46,339.04,94.639,77.929,31.747,8.7944,26.484,6.6818,18.762,1.6632,32.762,13.728,23.854,1.2183,19.055,2.2704,4.8087,2.31,0.00092373,0.85938,0.099544,54.097,44.416,63.068,52.729,29.35,60.902,21.633,39.556,40.997,45.654,44.91,40.246,13.97
5730162,0.30281,3695.1,4468.6,9.3101,26.949,42.201,2716.2,75.3,120.41,0.32237,80.663,50.455,2644.5,24.567,48.323,3120.1,22.868,65.432,221.52,337.97,94.565,77.957,32.347,8.8795,26.415,6.9776,19.043,1.6313,32.508,13.794,23.981,1.2447,19.07,2.2615,4.9327,2.2465,0.00092373,0.85938,0.099544,54.097,44.416,64.308,54.143,30.233,63.62,21.427,38.344,39.438,42.654,44.696,42.292,18.212
5730163,0.3047,3682.7,4473.7,9.4483,26.742,42.084,2720.1,75.448,120.37,0.32276,80.715,49.875,2648.3,26.156,50.16,3123.9,22.333,65.524,220.43,337.22,94.526,77.688,32.347,8.8795,26.415,6.9776,19.043,1.6313,32.508,13.794,23.981,1.2447,19.07,2.2615,4.9327,2.2465,0.00092373,0.85938,0.099544,54.097,44.416,64.52,54.083,30.047,59.828,21.259,38.296,37.731,46.903,44.846,41.646,19.471
5730164,0.24807,3612.2,4495.9,9.3092,26.903,42.297,2717.3,74.406,120.38,0.32831,80.279,49.379,2643.7,24.941,49.944,3124.0,23.789,65.559,218.06,335.68,94.7,77.157,31.671,8.8373,26.877,6.9108,18.65,1.6171,32.218,13.739,24.352,1.2197,18.661,2.2717,4.9296,2.2922,0.00092373,0.85938,0.099544,54.097,44.416,63.189,53.106,24.475,61.576,20.764,39.29,36.273,46.405,45.112,41.069,16.048
5730165,0.24868,3655.9,4507.0,9.3715,27.09,42.774,2719.9,75.192,120.36,0.32828,80.147,48.854,2647.0,24.784,48.835,3126.1,24.026,65.46,220.88,334.73,94.912,77.409,31.671,8.8373,26.877,6.9108,18.65,1.6171,32.218,13.739,24.352,1.2197,18.661,2.2717,4.9296,2.2922,0.0067024,0.87881,0.096309,53.645,44.368,62.437,52.973,24.414,62.721,20.876,39.293,34.729,43.839,45.335,40.15,15.474
5730166,0.31342,3635.9,4493.4,9.4613,27.147,42.53,2725.3,75.346,120.37,0.3207,80.055,48.268,2651.7,24.531,47.949,3133.8,23.097,65.437,223.93,333.98,94.837,77.204,31.507,8.8406,26.812,7.027,18.42,1.6503,31.646,13.719,25.028,1.1523,18.801,2.2769,4.9582,2.3346,0.0067024,0.87881,0.096309,53.645,44.368,63.309,54.088,31.291,62.86,20.546,38.67,33.002,41.788,45.306,40.189,17.7
5730167,0.31474,3660.4,4485.8,9.3259,26.743,42.034,2730.5,73.905,120.37,0.32169,79.951,51.542,2657.3,24.241,50.34,3139.5,23.92,65.36,222.23,333.44,94.992,77.411,31.507,8.8406,26.812,7.027,18.42,1.6503,31.646,13.719,25.028,1.1523,18.801,2.2769,4.9582,2.3346,0.0067024,0.87881,0.096309,53.645,44.368,62.886,54.18,31.16,60.289,20.33,38.549,42.638,47.321,45.704,40.938,15.751
5730168,0.34056,3603.9,4513.1,9.4557,26.954,42.296,2742.1,75.226,120.4,0.31877,80.436,49.15,2669.7,24.574,50.59,3149.4,23.865,65.396,225.68,332.89,94.849,78.023,31.074,8.8508,27.411,6.8784,19.164,1.6694,30.949,13.836,25.826,1.4035,18.827,2.2415,4.7957,2.3195,0.0067024,0.87881,0.096309,53.645,44.368,62.758,54.459,32.952,60.205,21.035,38.238,35.6,47.9,45.64,40.75,15.8
