timestamp,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
364009,0.25138,3619.1,4464.3,9.4526,27.307,42.128,2714.5,74.358,120.42,0.34854,79.868,49.974,2643.4,24.471,48.219,3109.7,23.511,66.046,246.78,343.52,94.632,77.556,32.58,8.8638,26.341,6.7367,18.635,1.6625,32.948,13.7,24.339,1.3221,18.451,2.286,4.9376,2.4328,0.030287,0.82152,0.092794,52.65,43.602,63.161,53.412,24.829,63.279,22.963,41.554,38.024,42.413,51.449,41.581,16.802
364010,0.2076,3683.7,4502.5,9.4782,26.947,42.644,2721.0,74.895,120.41,0.32942,80.321,48.397,2651.1,25.204,49.33,3114.8,22.171,66.094,244.49,343.98,94.267,78.0,32.571,8.8619,26.319,6.7745,19.054,1.6547,33.302,13.879,24.303,1.4081,18.595,2.2477,4.8215,2.3078,0.01281,0.82738,0.089113,53.537,43.385,63.443,54.046,20.808,62.328,23.524,38.114,33.384,44.984,51.277,41.482,19.908
364011,0.20885,3684.3,4520.7,9.5431,26.965,42.591,2719.8,73.885,120.44,0.32814,80.191,48.929,2649.3,24.422,49.335,3116.2,23.047,66.2,244.84,343.58,94.347,77.576,32.571,8.8619,26.319,6.7745,19.054,1.6547,33.302,13.879,24.303,1.4081,18.595,2.2477,4.8215,2.3078,0.01281,0.82738,0.089113,53.537,43.385,63.432,53.828,20.685,61.128,22.968,38.27,34.949,44.995,51.117,41.042,17.838
364012,0.20678,3670.0,4498.5,9.4007,26.897,42.621,2718.4,74.225,120.41,0.34433,80.061,50.783,2647.0,26.054,50.67,3114.3,22.11,66.218,243.95,343.6,94.353,77.282,32.264,8.9825,26.47,6.834,18.407,1.6441,33.134,13.789,24.338,1.3068,18.38,2.2097,4.6867,2.3065,0.01281,0.82738,0.089113,53.537,43.385,63.465,53.053,20.271,59.96,22.692,41.02,40.404,48.084,51.071,42.051,20.074
364013,0.20653,3685.4,4450.8,9.4404,26.745,42.386,2714.4,74.861,120.38,0.34411,79.622,49.245,2642.8,24.972,50.557,3110.3,23.414,66.17,243.95,343.65,94.538,76.699,32.264,8.9825,26.47,6.834,18.407,1.6441,33.134,13.789,24.338,1.3068,18.38,2.2097,4.6867,2.3065,0.01281,0.82738,0.089113,53.537,43.385,63.201,53.624,20.295,60.665,22.763,41.047,35.877,47.824,50.948,41.086,17.04
364014,0.23262,3669.8,4532.9,9.4002,27.056,42.361,2714.6,75.135,120.39,0.33435,79.468,50.103,2642.8,24.237,49.712,3109.4,22.645,66.015,243.83,343.8,94.478,77.107,32.492,8.8017,26.604,6.6362,18.404,1.642,33.693,13.76,24.339,1.2828,17.805,2.2784,4.7469,2.2719,0.01281,0.82738,0.089113,53.537,43.385,63.02,54.237,23.09,62.526,23.071,39.85,38.403,45.867,50.846,41.01,18.867
364015,0.23576,3680.1,4531.5,9.6057,26.786,42.241,2718.0,74.378,120.41,0.33667,79.734,49.551,2647.6,24.57,50.404,3113.2,22.911,65.973,247.11,344.01,94.447,77.408,32.492,8.8017,26.604,6.6362,18.404,1.642,33.693,13.76,24.339,1.2828,17.805,2.2784,4.7469,2.2719,0.014308,0.82131,0.091293,53.375,43.979,62.843,54.254,22.781,59.812,22.977,39.567,36.78,47.469,50.57,41.833,18.216
364016,0.20832,3694.9,4556.1,9.4515,26.425,42.583,2720.6,75.246,120.38,0.33404,79.927,50.349,2650.5,24.224,49.616,3115.6,23.498,66.017,245.38,344.01,94.367,77.224,32.036,8.9514,27.226,6.834,18.31,1.6411,33.187,13.82,24.346,1.254,18.031,2.2096,4.7285,2.2425,0.014308,0.82131,0.091293,53.375,43.979,64.463,54.029,20.759,61.026,22.952,39.047,39.126,45.646,50.663,41.286,16.814
364017,0.20917,3708.9,4522.5,9.421,27.001,42.55,2720.4,75.062,120.43,0.33217,79.838,50.194,2649.4,24.832,49.959,3116.6,22.964,66.04,244.69,343.67,94.373,77.266,32.036,8.9514,27.226,6.834,18.31,1.6411,33.187,13.82,24.346,1.254,18.031,2.2096,4.7285,2.2425,0.014308,0.82131,0.091293,53.375,43.979,64.221,54.431,20.676,62.935,22.819,39.275,38.67,46.44,50.662,42.701,18.074
364018,0.25263,3686.4,4518.3,9.4488,26.741,42.6,2720.4,73.864,120.39,0.3413,79.813,49.806,2649.7,26.513,49.408,3116.6,22.626,66.043,245.1,343.61,94.325,77.205,32.673,8.8626,26.596,6.8205,18.071,1.5991,33.146,13.807,24.097,1.0783,18.035,2.2645,4.7449,2.2713,0.014308,0.82131,0.091293,53.375,43.979,63.012,54.782,24.926,63.268,22.738,39.702,37.529,45.163,50.564,40.464,18.875
